""
"","WINTER 2017Fresh & Packaged FoodNutritional InformationPortionProduct DescriptionSize (g)",,,,,,,,,,,,,,,,,,,,,,,,
"",,,Vegetarian,Vegan,"WheatFree","GlutenFree",Milk Free,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit,Per 100g,Per Unit
"",Starbucks Shortbread Biscuits,50,Y,N,N,N,N,2245,1123,538,269,32.0,16.0,20.0,10.0,57.0,28.5,19.0,9.5,1.6,0.8,5.4,2.7,0.71,0.36
"",Starbucks Ginger Biscuits,50,Y,N,N,N,N,1926,963,459,230,17.3,8.7,6.7,3.4,70.0,35.0,38.0,19.0,1.8,0.9,4.8,2.4,0.66,0.33
"","Starbucks Almonds, Cashews, Cranberries & Yellow",40,Y,N,N,N,N,1950,780,466,187,23.6,9.5,2.9,1.2,49.7,19.9,34.2,13.7,6.0,2.4,10.8,4.3,0.02,0.00
"",Starbucks Smoked Almonds,40,Y,N,N,N,Y,2350,940,567,227,49.0,19.6,3.8,1.5,11.1,4.4,5.4,2.2,0.7,0.3,20.3,8.1,1.40,0.56
"",Starbucks Biscotti,45,Y,N,N,N,N,1870,842,447,201,17.5,7.9,3.9,1.8,61.9,27.9,33.7,15.2,4.5,2.0,10.3,4.6,0.21,0.10
"","Chococaramel, Choc, Caramel & Nuts bar",60,Y,N,Y,N,N,1858,1115,446,268,23.5,14.1,13.2,7.9,51.2,30.8,45.0,27.0,,,6.5,3.9,0.03,0.19
"",Starbucks Caramel Waffles,78,Y,N,N,N,N,1916,1494,457,356,21.0,16.4,12.0,9.4,63.0,49.0,34.0,26.5,1.0,0.8,3.5,2.7,0.60,0.50
"",Starbucks Mini Caramel  Waffles,,Y,N,N,N,N,1899,,453,,21.0,,12.0,,62.0,,35.0,,1.0,,3.5,,0.60,
"",Starbucks Chocolate Caramel Shortbread,66,Y,N,N,N,N,2106,1390,504,333,27.6,18.2,16.0,10.6,58.6,8.7,41.3,27.3,1.5,1.0,4.5,3.0,0.51,0.34
"",Starbucks Chocolate Coin,44,Y,N,Y,Y,N,2180,521,501,120,28.0,6.4,17.0,3.8,60.0,13.8,58.7,13.5,3.0,0.7,6.1,1.4,0.12,0.00
