"Name","Category","Vegetarian","Vegan","Wheat","Rye","Barley","Oat","Gluten","Soya","Egg","Milk","Fish","Crustacean","Mollusc","Sulphite","Sesame","Celery","Mustard","Peanut","Lupin","Tree Nuts"
"Macchiato- Made With Whole Milk- Solo Both","Macchiato","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Macchiato- Made With Soya Milk- Solo Both","Macchiato","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Babyccino With Marshmallow – Skimmed Milk","Babyccino With Marshmallow","n","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Babyccino With Marshmallow – Whole Milk","Babyccino With Marshmallow","n","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Babyccino With Marshmallow – Soya Milk","Babyccino With Marshmallow","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Chocolate Babyccino With Marshmallow - Skimmed Milk","Chocolate Babyccino With Marshmallow","n","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Chocolate Babyccino With Marshmallow - Whole Milk","Chocolate Babyccino With Marshmallow","n","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Chocolate Babyccino With Marshmallow - Soya Milk","Chocolate Babyccino With Marshmallow","n","n","n","n","n","n","n","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Chocolate Babyccino With Flake – Made With Skimmed Milk","Chocolate Babyccino With Flake","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Chocolate Babyccino With Flake – Made With Whole Milk","Chocolate Babyccino With Flake","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Chocolate Babyccino With Flake – Made With Soya Milk","Chocolate Babyccino With Flake","c","n","n","n","n","n","n","c","n","c","n","n","n","n","n","n","n","n","n","c"
"Flat White- Made With Skimmed Milk- Primo Drink In","Flat White","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Flat White- Made With Skimmed Milk- Primo Takeaway","Flat White","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Flat White- Made With Whole Milk- Primo Drink In","Flat White","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Flat White- Made With Whole Milk-","Flat White","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Primo Takeaway Flat White- Made With Soya Milk- Primo Drink In","Flat White","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Flat White- Made With Soya Milk- Primo Takeaway","Flat White","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Cappuccino - Made With Skimmed Milk- Primo Drink In","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Skimmed Milk - Primo Takeaway","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Skimmed Milk - Medio Drink In","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Skimmed Milk - Medio Takeaway","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Skimmed Milk - Massimo Drink In","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Skimmed Milk - Massimo Takeaway","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Whole Milk – Primo Drink In","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Whole Milk - Primo Takeaway","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Whole Milk - Medio Drink In","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Whole Milk – Medio Takeaway","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Whole Milk - Massimo Drink In","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Whole Milk - Massimo Takeaway","Cappuccino","c","n","n","n","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n"
"Cappuccino - Made With Soya Milk – Primo Drink In","Cappuccino","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Cappuccino - Made With Soya Milk - Primo Takeaway","Cappuccino","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Cappuccino - Made With Soya Milk - Medio Drink In","Cappuccino","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Cappuccino - Made With Soya Milk - Medio Takeaway","Cappuccino","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
"Cappuccino - Made With Soya Milk - Massimo Drink In","Cappuccino","c","c","n","n","n","n","n","c","n","n","n","n","n","n","n","n","n","n","n","c"
