"itemID","name","description","category","price","restaurantID","vegetarian","vegan","milk","eggs","peanuts","treeNuts","soy","wheatGluten","fish","shellFish"
148,"Cappuccino - Made With Whole Milk – Medio Takeaway",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
149,"Cappuccino - Made With Whole Milk - Massimo Drink In",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
150,"Cappuccino - Made With Whole Milk - Massimo Takeaway",,"Cappuccino",-1,"costa","c","n","c","n","n","n","n","n","n","n"
151,"Cappuccino - Made With Soya Milk – Primo Drink In",,"Cappuccino",-1,"costa","c","c","n","n","n","c","c","n","n","n"
152,"Cappuccino - Made With Soya Milk - Primo Takeaway",,"Cappuccino",-1,"costa","c","c","n","n","n","c","c","n","n","n"
153,"Cappuccino - Made With Soya Milk - Medio Drink In",,"Cappuccino",-1,"costa","c","c","n","n","n","c","c","n","n","n"
154,"Cappuccino - Made With Soya Milk - Medio Takeaway",,"Cappuccino",-1,"costa","c","c","n","n","n","c","c","n","n","n"
155,"Cappuccino - Made With Soya Milk - Massimo Drink In",,"Cappuccino",-1,"costa","c","c","n","n","n","c","c","n","n","n"
156,"Cappuccino - Made With Soya Milk - Massimo Takeaway",,"Cappuccino",-1,"costa","c","c","n","n","n","c","c","n","n","n"
157,"Caffe Latte- Made With Skimmed Milk-Primo Drink In",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
158,"Caffe Latte- Made With Skimmed Milk-Primo Takeaway",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
159,"Caffe Latte- Made With Skimmed Milk-Medio Drink In",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
160,"Caffe Latte- Made With Skimmed Milk-Medio Takeaway",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
161,"Caffe Latte- Made With Skimmed Milk-Massimo Drink In",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
162,"Caffe Latte- Made With Skimmed Milk-Massimo Takeaway",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
163,"Caffe Latte- Made With Whole Milk-Primo Drink In",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
164,"Caffe Latte- Made With Whole Milk-Primo Takeaway",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
165,"Caffe Latte- Made With Whole Milk-Medio Drink In",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
166,"Caffe Latte- Made With Whole Milk-Medio Takeaway",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
167,"Caffe Latte- Made With Whole Milk-Massimo Drink In",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
168,"Caffe Latte- Made With Whole Milk-Massimo Takeaway",,"Caffe Latte",-1,"costa","c","n","c","n","n","n","n","n","n","n"
169,"Caffe Latte- Made With Soya Milk-Primo Drink In",,"Caffe Latte",-1,"costa","c","c","n","n","n","c","c","n","n","n"
170,"Caffe Latte- Made With Soya Milk-Primo Takeaway",,"Caffe Latte",-1,"costa","c","c","n","n","n","c","c","n","n","n"
171,"Caffe Latte- Made With Soya Milk-Medio Drink In",,"Caffe Latte",-1,"costa","c","c","n","n","n","c","c","n","n","n"
172,"Caffe Latte- Made With Soya Milk-Medio Takeaway",,"Caffe Latte",-1,"costa","c","c","n","n","n","c","c","n","n","n"
173,"Caffe Latte- Made With Soya Milk-Massimo Drink In",,"Caffe Latte",-1,"costa","c","c","n","n","n","c","c","n","n","n"
174,"Caffe Latte- Made With Soya Milk-Massimo Takeaway",,"Caffe Latte",-1,"costa","c","c","n","n","n","c","c","n","n","n"
175,"Americano - Made With No Milk – Primo Both",,"Americano",-1,"costa","c","c","n","n","n","n","n","n","n","n"
176,"Americano - Made With No Milk – Medio Both",,"Americano",-1,"costa","c","c","n","n","n","n","n","n","n","n"
177,"Americano - Made With No Milk – Massimo Both",,"Americano",-1,"costa","c","c","n","n","n","n","n","n","n","n"
